county,city,combined_rate,reporting_code,includes_mctd,effective_date,source_url,notes,rate_percent
New York State only,,0.04,0021,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,4
Albany,,0.08,0181,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8
Allegany,,0.085,0221,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8½
Broome,,0.08,0321,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8
Cattaraugus,,0.08,0481,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,County default (except listed cities),8
Cattaraugus,Olean,0.08,0441,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,City override,8
Cattaraugus,Salamanca,0.08,0431,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,City override,8
Cayuga,,0.08,0511,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,County default (except listed cities),8
Cayuga,Auburn,0.08,0561,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,City override,8
Chautauqua,,0.08,0651,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8
Chemung,,0.08,0711,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8
Chenango,,0.08,0861,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,County default (except listed cities),8
Chenango,Norwich,0.08,0831,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,City override,8
Clinton,,0.08,0921,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8
Columbia,,0.08,1021,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8
Cortland,,0.08,1131,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8
Delaware,,0.08,1221,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8
Dutchess,,0.08125,1311,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,Includes MCTD,8⅛
Erie,,0.0875,1451,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8¾
Essex,,0.08,1521,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8
Franklin,,0.08,1621,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8
Fulton,,0.08,1791,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,County default (except listed cities),8
Fulton,Gloversville,0.08,1741,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,City override,8
